time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-11-09 08:30:00-05:00,MyStrategy,0dccae5c22b94c3092e19e0431ad18d9,SPY,buy,stop,fill,1,day,0.0,1,stock,363.9700012207031,172.0,0.0
2021-07-16 09:30:00-04:00,MyStrategy,98fe858dbe8948578a252501a040d209,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MyStrategy,98fe858dbe8948578a252501a040d209,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.010009765625,122.0,0.0
2021-10-26 09:30:00-04:00,MyStrategy,733368a6bb574ca08aa81554406524ad,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-10-26 09:30:00-04:00,MyStrategy,1c1d8b839be84b5c9e0c87a015649951,SPY,buy,stop,fill,1,day,0.0,1,stock,457.8105102539063,122.0,0.0
2022-01-21 09:30:00-05:00,MyStrategy,a680de75f84c40c6bf05e0eef5dac260,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,MyStrategy,a680de75f84c40c6bf05e0eef5dac260,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.55999755859375,116.0,0.0
2022-03-04 09:30:00-05:00,MyStrategy,db0abad1defa48cd873e4e29951a5779,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-04 09:30:00-05:00,MyStrategy,db0abad1defa48cd873e4e29951a5779,SPY,sell,market,fill,1,gtc,0.0,1,stock,431.75,179.0,0.0
2022-03-18 09:30:00-04:00,MyStrategy,7e37c2deb1a94d04822f378fdff4d307,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-18 09:30:00-04:00,MyStrategy,7e37c2deb1a94d04822f378fdff4d307,SPY,sell,market,fill,1,gtc,0.0,1,stock,438.0,265.0,0.0
2022-03-24 09:30:00-04:00,MyStrategy,8b5de328652c40ca8ab48936bbcc505f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-24 09:30:00-04:00,MyStrategy,8b5de328652c40ca8ab48936bbcc505f,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.94000244140625,390.0,0.0
2022-03-28 08:30:00-04:00,MyStrategy,8616c335d56d492198ab312b20df8e4c,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MyStrategy,be6e1c7d3ab248b88aa6dc670d28523f,SPY,buy,stop,fill,1,day,0.0,1,stock,453.33750000000003,179.0,0.0
2022-03-29 09:30:00-04:00,MyStrategy,ad949f9405b14dc194ddb461bc38390d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-29 09:30:00-04:00,MyStrategy,1e1a6dd4ac684abf84257630f74fabdc,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,265.0,0.0
2022-04-22 09:30:00-04:00,MyStrategy,49755208c0984b629c53a3b044688467,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-22 09:30:00-04:00,MyStrategy,49755208c0984b629c53a3b044688467,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.9100036621094,364.0,0.0
2022-04-27 09:30:00-04:00,MyStrategy,2f94859c408048cd8c01948444a43d17,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-27 09:30:00-04:00,MyStrategy,2f94859c408048cd8c01948444a43d17,SPY,sell,market,fill,1,gtc,0.0,1,stock,417.239990234375,572.0,0.0
2022-04-28 09:30:00-04:00,MyStrategy,ccde7e3c56b84b09ab05dafd7fa3c5f3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-28 09:30:00-04:00,MyStrategy,ccde7e3c56b84b09ab05dafd7fa3c5f3,SPY,sell,market,fill,1,gtc,0.0,1,stock,422.2900085449219,848.0,0.0
2022-06-10 09:30:00-04:00,MyStrategy,700df1db45764305ba73d0914e8b1fd5,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
