time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2023-01-19 09:30:00-05:00,MyStrategy,818844c640c145b68ee267377d4841a4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MyStrategy,818844c640c145b68ee267377d4841a4,SPY,sell,market,fill,1,gtc,0.0,1,stock,389.3599853515625,128.0,0.0
2023-02-01 09:30:00-05:00,MyStrategy,ef2341250195460ea903a057f945f018,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,MyStrategy,e9b33cb4a8a644a9a208df9ca74ad976,SPY,buy,stop,fill,1,day,0.0,1,stock,408.82798461914064,128.0,0.0
2023-04-10 09:30:00-04:00,MyStrategy,c1c2a506ab504e128d7e307d31d09470,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-10 09:30:00-04:00,MyStrategy,c1c2a506ab504e128d7e307d31d09470,SPY,sell,market,fill,1,gtc,0.0,1,stock,406.6099853515625,120.0,0.0
